Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Contido,Quantidade Produção - Minério ROM (t),Quantidade Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,MG,Não-Metálicos,Potássio,t,",000000",",000000000000000",K2O,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Zircônio,t,",000000",",000000000000000",ZrSiO4,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",-,"29918,900000",",380000000000000",,"19689,689999999999","1188706,21",",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Estanho,kg,"571531,000000","316957,590000000000000",Sn,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Areia,-,"4123619,340000",",000000000000000",,"3499654,1700000032","42247894,710000016",",000000",",000000","2472,210000","32680,100000"
2010.0,MG,Metálicos,Tântalo,t,"569933,000000","170,195170000000000",Ta2O5,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Cianita e outros minerais refratários,-,"115,000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Manganês,t,"991605,550000","190404,190000000000000",Mn,"222455,01000000001","5869319,1100000003",",000000",",000000","27333,840000","2400885,700000"
2010.0,MG,Não-Metálicos,Mica,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Grafita,t,"1204047,090000","83852,400000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Areias Industriais,-,"932636,070000",",000000000000000",,"118535,94","11694247,309999999",",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Cobalto,t,"382969,290000","76,590000000000000",Co,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Lítio,t,"35927,960000","502,530000000000000",Li2O,"1448,96","628456,69999999995",",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Cádmio,t,",000000",",000000000000000",Cd,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Calcário,-,"40886694,090300",",000000000000000",,"1405801,0299999998","7189101,120000001","28588,070000","841710,130000","127832,730000","676473,190000"
2010.0,MG,Metálicos,Zinco,t,"2311951,000000","224897,160000000000000",Zn,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"15713610,559700",",000000000000000",,"411275,66000000003","2172648,1599999997","21329,480000","104382,700000","182029,560000","1804031,640000"
2010.0,MG,Metálicos,Titânio,t,"6364875,000000","955113,140000000000000",TiO2,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,"Geodos, Ágatas, Calcedônia, etc",t,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
